street	clause	restriction	side	from_point	to_point	extent	schedule	source_text	notes
Suffolk Road	2	two-hour limit					Saturdays included; 7:00 a.m. to 10:00 p.m.	Suffolk Road (2) Two-hour limit, Saturdays included, 7:00 a.m. to 10:00 p.m., a) North side, from a point 570 feet west of Hammond Street to a point 880 feet west of Hammond Street b) North side, from a point 960 feet west of Hammond Street, 70 feet westerly. c) South side, from a point 240 feet east of Kingsbury Road to Hammond Street.	has lettered sub-clauses
Suffolk Road	3	two-hour limit						Suffolk Road (3) Two-hour limit, 8:00 a.m. to Noon: a) South side, from a point 125 feet east of Woodman Road westerly 98 feet. b) South side, from a point 33 feet west of Woodman Road westerly 332 feet. c) South side, from a point 385 feet west of Woodman Road westerly 124 feet.	has lettered sub-clauses
Summer Street	1	prohibited	south	a point 60 feet east of Chestnut Street	High Street		all days	Summer Street (1) Prohibited, all days, south side, from a point 60 feet east of Chestnut Street to High Street.	
Sumner Street	1	prohibited					all days	Sumner Street (1) Prohibited, all days: a) East side, from Beacon Street northerly 105 feet. b) East side, from Willow Street to Marshall Street. c) West side, Marshall Street to Commonwealth Avenue. d) West side, from a point 295 feet north of Langley Road northerly 80 feet.	has lettered sub-clauses
Sumner Street	2	one-hour limit	east	a point 105 feet north of Beacon Street	Willow Street		Saturdays included; 7:00 a.m. to 7:00 p.m.	Sumner Street (2) One-hour limit, Saturdays included, 7:00 a.m. to 7:00 p.m., east side from a point 105 feet north of Beacon Street northerly to Willow Street.	
Sumner Street	3	parking meter zone	west	a point 75 feet north of Langley Road	(northerly 70 feet)		Saturdays included; 8:00 a.m. to 6:00 p.m.	Sumner Street (3) Parking meter zone, one-hour limit, 8:00 a.m. to 6:00 p.m., Saturdays included: a) West side, from a point 75 feet north of Langley Road northerly 70 feet.	one-hour limit; has lettered sub-clauses
Sumner Street	4	parking meter zone					8:00 a.m. to 6:00 p.m.	Sumner Street (4) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m. a) East side, from a point 105 feet north of Beacon Street northerly 500 feet. b) West side, from a point 180 feet north of Langley Road northerly 115 feet. c) West side, from a point 375 feet north of Langley Road to Lyman Road.	two-hour limit; has lettered sub-clauses
Sumner Street	5	two-hour limit	west	Willow Street	Marshall Street		Saturdays included; 7:00 a.m. to 7:00 p.m.	Sumner Street (5) Two-hour limit, Saturdays included, 7:00 a.m. to 7:00 p.m., west side, from Willow Street to Marshall Street.	
Sumner Street	6	two-hour limit	east	Marshall Street	Commonwealth Avenue		7:00 a.m. to 7:00 p.m.	Sumner Street (6) Two-hour limit, 7:00 a.m. to 7:00 p.m., east side, between Marshall Street and Commonwealth Avenue.	
Tanglewood Road	1	two-hour limit	both				all days; 7:00 a.m. to 11:00 p.m.	Tanglewood Road (1) Two-hour limit, all days, 7:00 a.m. to 11:00 p.m., both sides.	
Temple Street	1	prohibited	east	Berkeley Street	Mignon Road		all days	Temple Street (1) Prohibited, all days, east side from Berkeley Street to Mignon Road.	
Temple Street	2	prohibited	west	Commonwealth Avenue	Fuller Street		all days	Temple Street (2) Prohibited, all days, west side from Commonwealth Avenue to Fuller Street.	
Thornton Street	1	prohibited	west	Washington Street	Pearl Street		all days	Thornton Street (1) Prohibited, all days, west side, from Washington Street to Pearl Street.	
Thornton Street	2	two-hour limit			Washington Street		7:00 a.m. to 7:00 p.m.	Thornton Street (2) Two-hour limit, 7:00 a.m. to 7:00 p.m., east side, from Washington Street to Pearl Street; west side, from Crescent Square to Pearl Street.	east side Washington St to Pearl St; west side Crescent Square to Pearl St
Thurston Road	1	prohibited	south	Circuit Avenue	a point 240 feet west of Cottage Street		8:00 a.m. to 10:00 a.m.	Thurston Road (1) Prohibited, south side, 8:00 a.m. to 10:00 a.m., from Circuit Avenue to a point 240 feet west of Cottage Street.	
Thurston Road	2	prohibited	north	Circuit Avenue	a point 240 feet west of Cottage Street		2:00 p.m. to 4:00 p.m.	Thurston Road (2) Prohibited, north side, 2:00 p.m. to 4:00 p.m., from Circuit Avenue to a point 240 feet west of Cottage Street.	
Town House Drive	1	two-hour limit	both			entire length	8:00 a.m. to 4:00 p.m.	Town House Drive (1) Two-hour limit, both sides, 8:00 a.m. to 4:00 p.m. entire length.	
Tower Road	1	prohibited				entire length	all days	Tower Road (1) Prohibited, all days: a) North side, entire length, including north west and south side of cul-de-sac. b) South side, from Needham Street to a point 450 feet westerly.	has lettered sub-clauses
Traverse Street	1	prohibited	north				all days	Traverse Street (1) Prohibited, all days, north side.	
Tremont Street	1	two-hour limit	both	Park Street	Brighton line		8:00 a.m. to 6:00 p.m.	Tremont Street (1) Two-hour limit, 8:00 a.m. to 6:00 p.m., except by Newton Corner permit, both sides, from Park Street to the Brighton line.	Newton Corner permit exception
Tremont Street	2	prohibited	north	Boston City Line	Playstead Road (easterly leg)		all times; all days, all times; all days	Tremont Street (2) Prohibited, all days, all times, north side, from the Boston City Line to Playstead Road (easterly leg).	
Trinity Terrace	1	prohibited	south			entire length	all days	Trinity Terrace (1) Prohibited, all days, south side, entire length.	
Trowbridge Avenue	1	no standing	north				all days	Trowbridge Avenue (1) No Standing, all days, north side, public portion.	
Trowbridge Avenue	2	resident permit only	south				all days	Trowbridge Avenue (2) Parking by Newtonville Resident parking permit only, all days, all hours, south side, public portion (three non-resident Newtonville Permits allowed).	Newtonville permit; three non-resident permits allowed
Trowbridge Avenue	3	prohibited	south				all days	Trowbridge Avenue (3) Prohibited, all days, south side, private portion.	
Trowbridge Avenue	4	resident permit only	north				all days	Trowbridge Avenue (4) Parking by Newtonville permit parking only, all days, all hours, north side, private portion. Up to (one) nonresident Newtonville permit may be issued along the private portion of Trowbridge Avenue.	Newtonville permit; one nonresident permit allowed on private portion
Trowbridge Street	1	prohibited					8:00 a.m. to 6:00 p.m.	Trowbridge Street (1) Prohibited, 8:00 a.m. to 6:00 p.m.: a) South side. b) Northeast side from a point 100 feet northwest of Centre Street northwest to Norwood Avenue.	has lettered sub-clauses
Trowbridge Street	2	two-hour limit	northeast	Centre Street	(northwesterly 100 feet)		8:00 a.m. to 6:00 p.m.	Trowbridge Street (2) Two-hour limit, 8:00 a.m. to 6:00 p.m., northeast side from Centre Street northwesterly 100 feet.	
Troy Lane	1	prohibited	west	a point 185 feet south of Fuller Street	end (cul-de-sac)		all days	Troy Lane (1) Prohibited, all days, west side, from a point 185 feet south of Fuller Street, to and including the cul-de-sac.	
Troy Lane	2	prohibited	east	a point 300 feet south of Fuller Street	end (cul-de-sac)		all days	Troy Lane (2) Prohibited, all days, east side, from a point 300 feet south of Fuller Street, to and including the cul-de-sac.	
Turner Street	1	one-hour limit	south				7:00 a.m. to 7:00 p.m.	Turner Street (1) One-hour limit, 7:00 a.m. to 7:00 p.m., south side, except by Resident Permit as listed in TPR-202.	see TPR-202
Turner Street	2	prohibited	north				all days	Turner Street (2) Prohibited all days, north side.	
Turner Terrace	1	two-hour limit	both				7:00 a.m. to 7:00 p.m.	Turner Terrace (1) Two-hour limit, from 7:00 a.m. to 7:00 p.m., east side.	schedule inferred from clause text; both sides listed as heading but clause says east side only
Tyler Terrace	1	prohibited					all days	Tyler Terrace (1) Prohibited, all days: a) South side from Centre Street to Pleasant Street. b) North side from Centre Street westerly 20 feet. c) North side, from a point 120 feet east of Pleasant Street, easterly 40 feet.	has lettered sub-clauses
Tyler Terrace	2	two-hour limit	north	a point 20 feet west of Centre Street	a point 100 feet east of Pleasant Street		7:00 a.m. to 7:00 p.m.	Tyler Terrace (2) Two-hour limit, 7:00 a.m. to 7:00 p.m., north side from a point 20 feet west of Centre Street to a point 100 feet east of Pleasant Street.	
Tyler Terrace	3	prohibited	north	a point 20 feet west of Center Street	a point 100 feet east of Pleasant Street		all days; 10:00 p.m. to 6:00 a.m.	Tyler Terrace (3) Prohibited, all days, from 10:00 p.m. to 6:00 a.m. from a point 20 feet west of Center Street to a point 100 feet east of Pleasant Street.	
Union Street	1	prohibited	north	a point 25 feet west of Langley Road	Beacon Street		all days	Union Street (1) Prohibited, all days, north side from a point 25 feet west of Langley Road to Beacon Street.	
Union Street	2	prohibited	south	a point 300 feet west of Langley Road	(westerly 60 feet)		all days; 7:00 a.m. to 9:00 a.m.; 4:00 p.m. to 6:00 p.m.	Union Street (2) Prohibited, all days, 7:00 a.m. to 9:00 a.m. and 4:00 p.m. to 6:00 p.m., south side from a point 300 feet west of Langley Road westerly 60 feet.	
Union Street	3	parking meter zone					8:00 a.m. to 6:00 p.m.	Union Street (3) Parking meter zones, two-hour limit, 8:00 a.m. to 6:00 p.m.: a) North side, from Langley Road to Herrick Road. b) South side, from Herrick Road to a point 200 feet east of Langley Road except as otherwise provided in subsections (2) and (4).	two-hour limit; has lettered sub-clauses; subject to subsections (2) and (4)
Union Street	4	live parking	south	a point 130 feet east of Herrick Road	(easterly 90 feet)		4:30 p.m. to 6:30 p.m.	Union Street (4) Live parking, 4:30 p.m. to 6:30 p.m., south side, from a point 130 feet east of Herrick Road easterly 90 feet.	
Upland Road	1	two-hour limit	both	Mill Street	Kirkstall Road		school days; 8:00 a.m. to 4:00 p.m.	Upland Road (1) Two-hour limit, Mill Street to Kirkstall Road, 8:00 a.m. to 4:00 p.m., School Days, both sides, except by Newtonville Resident parking permit.	Newtonville Resident permit exception
Vernon Street	1	prohibited	south	Centre Street	a point 200 feet easterly		all days	Vernon Street (1) Prohibited, all days, from Centre Street to a point 200 feet easterly, south side.	
Vernon Street	2	three-hour limit	south	a point 200 feet east of Centre Street	Baldwin Street		7:00 a.m. to 7:00 p.m.	Vernon Street (2) Three- limit 7:00 a.m. to 7:00 p.m., from a point 200 feet east of Centre Street to Baldwin Street, south side.	"text reads ""Three- limit"" (truncated in source)"
Vernon Street	3	prohibited	south	Eldredge Street	a point 40 feet easterly		all days	Vernon Street (3) Prohibited, all days, from Eldredge Street to a point 40 feet easterly, south side.	
Vernon Street	4	two-hour limit	south	a point 40 feet east of Eldredge Street	Park Street		7:00 a.m. to 7:00 p.m.	Vernon Street (4) Two-hour limit, 7:00 a.m. to 7:00 p.m., from a point 40 feet east of Eldredge Street to Park Street, south side.	
Vernon Street	5	live parking	south	Park Street	(250 feet easterly)		school days; 7:45 a.m. to 8:15 a.m.; 1:30 p.m. to 3:30 p.m.	Vernon Street (5) Live parking only, 7:45 a.m. to 8:15 a.m. and 1:30 p.m. to 3:30 p.m., school days, from Park Street, 250 feet easterly, south side.	
Vernon Street	6	two-hour limit	south	a point 250 feet east of Park Street	Waverley Avenue		7:00 a.m. to 7:00 p.m.	Vernon Street (6) Two-hour limit, 7:00 a.m. to 7:00 p.m., from a point 250 feet east of Park Street to Waverley Avenue, south side.	
Vernon Street	7	prohibited	north	Centre Street	a point 30 feet easterly		all days	Vernon Street (7) Prohibited, all days, from Centre Street to a point 30 feet easterly, north side.	
Vernon Street	8	one-hour limit	north	a point 40 feet east of Centre Street	a point 105 feet easterly		7:00 a.m. to 7:00 p.m.	Vernon Street (8) One-hour limit, 7:00 a.m. to 7:00 p.m., from a point 40 feet east of Centre Street to a point 105 feet easterly, north side.	
Vernon Street	9	prohibited	north	a point 145 feet east of Centre Street	Baldwin Street		all days	Vernon Street (9) Prohibited, all days, from a point 145 feet east of Centre Street to Baldwin Street, north side.	
Vernon Street	10	prohibited	north	Eldredge Street	Park Street			Vernon Street (10) Prohibited, Eldredge Street to Park Street, north side.	
Vernon Street	11	prohibited	north	Park Street	Waverley Avenue		Saturdays included; 7:00 a.m. to 7:00 p.m.	Vernon Street (11) Prohibited, Saturdays included, 7:00 a.m. to 7:00 p.m., from Park Street to Waverley Avenue, north side.	
Vista Avenue	1	prohibited	east			entire length	all days	Vista Avenue (1) Prohibited all days, east side, entire length.	
Vista Avenue	2	prohibited	west	Woodland Road	a point 35 feet southerly		all days	Vista Avenue (2) Prohibited, all days, west side, from Woodland Road to a point 35 feet southerly.	
Vista Avenue	3	two-hour limit	west	a point 35 feet south of Woodland Road	(190 feet southerly)			Vista Avenue (3) Two hour limit, west side, from a point 35 feet south of Woodland Road 190' southerly.	
Vista Avenue	4	one-hour limit	west	a point 225 feet south of Woodland Road	Aspen Avenue		all times; all days, all times; all days	Vista Avenue (4) One-hour limit, all days, all times, except by Auburndale Permit, west side, from a point 225 feet south of Woodland Road to Aspen Avenue.	Auburndale Permit exception
Waban Avenue	1	prohibited					all times	Waban Avenue (1) Prohibited, all times, all hours: a) west side, from Beacon Street to a point 130 feet south. b) east side, from Beacon Street to Collins Avenue. c) north side, from Collins Avenue to a point 75 feet west of Annawan Road. d) northeast side, from Manitoba Road to a point 175 feet easterly.	has lettered sub-clauses
Waban Avenue	2	two-hour limit					9:00 a.m. to 5:00 p.m.	Waban Avenue (2) Two-hour limit, 9:00 a.m. to 5:00 p.m., except by Waban Resident parking permit. a) west side, from a point 130 feet south of Beacon Street, 134 feet southerly. b) north side, from a point 75 feet west of Annawan Road, 260 feet westerly. c) south side, from Annawan Road and a point 325 feet westerly. d) southwest side at the intersection of Neihoiden Road and Manitoba Road, from Waban Avenue's Northern Roadway to Waban Avenue's Southern Roadway.	Waban Resident parking permit exception; has lettered sub-clauses
Waban Park	1	prohibited						Waban Park (1) Prohibited, north side of the southern drive and south side of the northern drive.	applies to both drives
Waban Street	1	prohibited	both	Jewett Street	Thornton Street		all days; 7:00 a.m. to 7:00 p.m.	Waban Street (1) Prohibited, all days, 7:00 a.m. to 7:00 p.m., both sides from Jewett Street to Thornton Street.	
Waban Hill Road	1	two-hour limit	east	Commonwealth Avenue	Waban Hill Path		8:00 a.m. to 6:00 p.m.	Waban Hill Road (1) Two-hour limit, 8:00 a.m. to 6:00 p.m., east side from Commonwealth Avenue to Waban Hill Path.	
Wachusett Road	1	prohibited	south	Hammond Street	(westerly 100 feet)			Wachusett Road (1) Prohibited, south side from Hammond Street westerly 100 feet.	
Wade Street	1	prohibited	east	Boylston Street	Hersey Street		all days	Wade Street (1) Prohibited, all days, east side from Boylston Street to Hersey Street.	
Walden Street	1	two-hour limit	both				school days; 8:00 a.m. to 4:00 p.m.	Walden Street (1) Two-hour limit, 8:00 a.m. to 4:00 p.m., school days, both sides, except by Newtonville Resident parking permit.	Newtonville Resident permit exception
Waldorf Road	1	two-hour limit	both	Canterbury Road	(westerly 280 feet)		8:00 a.m. to 5:00 p.m.	Waldorf Road (1) Two-hour limit, 8:00 a.m. to 5:00 p.m., both sides, from Canterbury Road westerly 280 feet.	
Walnut Park	1	prohibited	west	Washington Street	(northerly 250 feet)			Walnut Park (1) Prohibited, west side, from Washington Street northerly 250 feet.	
Walnut Park	2	prohibited	both	Waban Park	(southerly 262 feet)			Walnut Park (2) Prohibited, both sides, from Waban Park southerly 262 feet.	
Walnut Park	3	two-hour limit					7:00 a.m. to 6:00 p.m.	Walnut Park (3) Two hour limit a) East side, from Washington Street northerly 250 feet. b) Two-hour limit, west side, 7:00 a.m. to 6:00 p.m., from a point 565 feet west of Waban Park, southerly 386 feet.	has lettered sub-clauses; schedule applies to sub-clause b; sub-clause a has no stated schedule
Walnut Park	4	live parking	west	a point 465 feet south of Waban Park	(southerly 100 feet)			Walnut Park (4) Live parking: a) West side, from a point 465 feet south of Waban Park southerly 100 feet.	has lettered sub-clauses
Walnut Place	1	prohibited				entire length		Walnut Place (1) Parking Prohibited: a) entire length, north and east side from Highland Avenue to Walnut Street. b) south side from Walnut Street 130 feet westerly.	has lettered sub-clauses
Walnut Place	2	resident permit only			130 feet west of Walnut Street		all days	Walnut Place (2) Parking by Newtonville Resident parking permit only, all days, all hours, south and west side from 130 feet west of Walnut Street to Highland Avenue (seven non-resident Newtonville Permits allowed).	Newtonville permit; seven non-resident permits allowed; south and west side
Walnut Street – Centre Street to Lakewood Road	1	prohibited	both				all days; 8:00 a.m. to 6:00 p.m.	Walnut Street – Centre Street to Lakewood Road (1) Prohibited, all days, both sides, except for the following: a) Parking meter zone, one-hour limit, 8:00 a.m. to 6:00 p.m., from a point 20 feet north of Floral Street, 80 feet northerly, east side. b) Parking meter zone, one-hour limit, 8:00 a.m. to 6:00 p.m., from a point 85 feet south of the southerly merge of Forest Street and Walnut Street, 120 feet southerly, west side. c) Parking meter zone, one-hour limit, 8:00 a.m. to 6:00 p.m., from a point 280 feet south of the southerly merge of Forest Street and Walnut Street, 40 feet southerly, west side. d) Parking meter zone, one-hour limit, 8:00 a.m. to 6:00 p.m., from a point 55 feet south of Lincoln Street, 75 feet southerly, west side. e) Parking meter zone, one-hour limit, 8:00 a.m. to 6:00 p.m., from a point 15 feet south of Floral Street, 240 feet southerly, west side.	has lettered sub-clauses with meter zone exceptions
Walnut Street – Commonwealth Avenue to Washington Street	1	prohibited					any time; 8:00 a.m. to 6:00 p.m.	Walnut Street – Commonwealth Avenue to Washington Street (1) Prohibited, any time, any side, except for the following: a) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., from a point 30 feet north of Washington Park, 40 feet northerly, east side. b) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., from a point 170 feet north of Washington Park, 55 feet northerly, east side. c) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., from a point 35 feet north of Madison Avenue, 115 feet northerly, east side. d) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., from a point 50 feet south of Austin Street, 115 feet southerly, west side. e) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., from a point 245 feet south of Austin Street, 75 feet southerly, west side. f) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m. from a point 30 feet south of Highland Avenue, 80 feet southerly, west side.	has lettered sub-clauses with meter zone exceptions
Walnut Street – Dedham Street to Centre Street	1	no restriction	both				including Saturdays; all days; any time; 7:00 a.m. to 10:00 p.m.	Walnut Street – Dedham Street to Centre Street (1) No restriction, all days, both sides, except for the following: a) Two-hour limit, 7:00 a.m. to 10:00 p.m., including Saturdays, Boylston Street (Route 9) to a point 50 feet south of Centre Street, east side. b) No parking any time, from a point 50 feet south of Centre Street to Centre Street, east side. c) No parking any time, from Centre Street to a point 35 feet south of Centre Street, west side. d) Two-hour limit, 7:00 a.m. to 10:00 p.m., including Saturdays, from a point 35 feet south of Centre Street to Boylston Street (Route 9), west side.	has lettered sub-clauses with exceptions
Walnut Street – Lakewood Road to Commonwealth Avenue	1	prohibited					any time	Walnut Street – Lakewood Road to Commonwealth Avenue (1) Prohibited, any time, any side, except for the following: a) No restriction, from a point 70 feet north of Fenno Road, 540 feet northerly, east side. b) No restriction, from a point 135 feet south of Commonwealth Avenue, 540 feet southerly, west side.	has lettered sub-clauses with no-restriction exceptions
Walnut Street – Washington Street to Crafts Street	1	prohibited					except Saturdays, Sundays and Holidays; including Saturdays; any time; 8:00 a.m. to 6:00 p.m.; 7:00 a.m. to 7:00 p.m.; 7:00 a.m. to 10:00 p.m.; 8:15 a.m. to 3:00 p.m.	Walnut Street – Washington Street to Crafts Street (1) Prohibited, any time, any side, except for the following: a) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., from a point 105 feet north of Washington Street, 100 feet northerly, east side. b) Two-hour limit, 7:00 a.m. to 7:00 p.m., including Saturdays, from a point 305 feet north of Washington Street, 150 feet northerly, east side. c) Two-hour limit, 7:00 a.m. to 7:00 p.m., including Saturdays, from a point 520 feet north of Washington Street, 205 feet northerly, east side. d) Two-hour limit, 7:00 a.m. to 7:00 p.m., including Saturdays, from a point 785 feet north of Washington Street to a point 50 feet south of Turner Street, east side. e) Two-hour limit, 7:00 a.m. to 10:00 p.m., including Saturdays, Turner Street to Lowell Avenue, east side. f) Unrestricted, from a point 55 feet north of Watertown Street, 25 feet northerly, east side. g) 15-minute limit, 8:15 a.m. to 3:00 p.m., except Saturdays, Sundays and Holidays, from a point 140 feet north of Watertown Street, 205 feet northerly, east side. h) No parking any time, tow zone, from a point 345 feet north of Watertown Street, 65 feet northerly, east side. i) No restriction, from a point 410 feet north of Watertown Street, 305 feet northerly, east side. j) Blue Zone, Florence Court to a point 110 feet south of Minot Place, west side. k) Unrestricted, from a point 40 feet south of Linwood Avenue, 280 feet southerly, west side. l) No parking any time, tow zone, from a point 320 feet south of Linwood Avenue, 90 feet southerly, west side. m) Unrestricted, from a point 410 feet south of Linwood Avenue, 170 feet southerly, west side. n) Unrestricted, from a point 75 feet south of Lowell Avenue 295 feet southerly, west side. o) One-hour limit, 7:00 a.m. to 7:00 p.m., including Saturdays, from a point 370 feet south of Lowell Avenue, 190 feet southerly, west side. p) Two-hour limit, 7:00 a.m. to 7:00 p.m., including Saturdays, from a point 115 feet south of Page Road to a point 130 feet south of Foster Street, west side. q) 15-minute limit, loading zone, from a point 215 feet north of Washington Street to a point 170 feet north of Washington Street, west side. r) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., from a point 170 feet north of Washington Street to a point 65 feet north of Washington Street, west side.	has lettered sub-clauses a-r with varied restrictions
Walnut Terrace	1	prohibited	north				all days	Walnut Terrace (1) Prohibited, all days, north side.	
Walsingham Street	1	prohibited	both			entire length	all days; 7:00 a.m. to 9:00 p.m.	Walsingham Street (1) Prohibited, all days, 7:00 a.m. to 9:00 p.m., both sides, entire length.	
Waltham Street	1	prohibited					all days	Waltham Street (1) Prohibited, all days: a) West side, from Hazelhurst Avenue to Annapolis Road. b) West side, from a point 150 feet north of Lodge Road to Fuller Terrace. c) West side, from River Street to Webster Street. d) West side, from the Webster Street to a point 50 feet southerly. e) West side, from a point 50 feet north of Washington Street, southerly to Washington Street. f) East side, from Washington Street to a point 65 feet north of Webster Street. g) East side, from Crafts Street / Waltham Street (westerly leg) to Fuller Terrace. h) East side, from a point across from Lodge Road to a point across from Annapolis Road. i) East side, from a point across from Bonita Road to Kensington Road.	has lettered sub-clauses a-i
Waltham Street	2	parking meter zone	west	a point 120 feet north of Washington Street	(southerly 80 feet)		8:00 a.m. to 6:00 p.m.	Waltham Street (2) Parking meter zone, one-hour limit, 8:00 a.m. to 6:00 p.m., west side, from a point 120' north of Washington Street, 80 feet southerly.	one-hour limit
Ward Street	1	prohibited					all days	Ward Street (1) Prohibited, all days: a) South side from Westbourne Road to Wessex Road. b) South side, from Waverley Avenue westerly 100 feet. c) North side, from Stuart Street westerly 100 feet. d) North side, from Waverley Avenue easterly 100 feet. e) North side, from a point 240 feet east of Exmoor Road, westerly 55 feet. f) South side, from Morseland Avenue to a point 165 feet easterly. g) North side, from West Boulevard to a point 50 feet easterly.	has lettered sub-clauses a-g
Ward Street	2	one-hour limit	south	Hammond Street	Manet Road		Saturdays included; 8:00 a.m. to 3:00 p.m.	Ward Street (2) One-hour limit, Saturdays included, 8:00 a.m. to 3:00 p.m., south side, from Hammond Street to Manet Road.	
Ward Street	3	two-hour limit	north	Woodlawn Drive	Manet Road		8:00 a.m. to 10:00 a.m.; 2:00 p.m. to 4:00 p.m.	Ward Street (3) Two-hour limit, 8:00 a.m. to 10:00 a.m. and 2:00 p.m. to 4:00 p.m., north side, Woodlawn Drive to Manet Road.	
Ward Street	4	prohibited	north	a point 60 feet east of Morseland Avenue	(easterly 120 feet)		8:00 a.m. to 12:00 p.m.	Ward Street (4) Prohibited, 8:00 a.m. to 12:00 p.m., Saturdays only, north side, from a point 60 feet east of Morseland Avenue, 120 feet easterly.	
Warren Avenue	1	prohibited	west			entire length	all days	Warren Avenue (1) Prohibited, all days, west side, entire length.	
Warren Avenue	2	prohibited	east	a point 270 feet north of Webster Street	River Street		all days	Warren Avenue (2) Prohibited, all days, east side, from a point 270 feet north of Webster Street to River Street.	
Warren Street	1	no parking	south	Langley Road	Glen Avenue		any time	Warren Street (1) No Parking any time, south side, Langley Road to Glen Avenue.	
Warren Street	2	two-hour limit	north	Langley Road	Glen Avenue		Saturdays included; 7:00 a.m. to 10:00 p.m.	Warren Street (2) Two-hour limit, Saturdays included, 7:00 a.m. to 10:00 p.m., north side, Langley Road to Glen Avenue.	
Warren Street	3	two-hour limit	both	Glen Avenue	end		7:00 a.m. to 7:00 p.m.	Warren Street (3) Two-hour limit, 7:00 a.m. to 7:00 p.m., both sides Glen Avenue to end.	
Warren Terrace	1	prohibited	west				all days	Warren Terrace (1) Prohibited, all days, west side.	
Warren Terrace	2	two-hour limit	east				7:00 a.m. to 7:00 p.m.	Warren Terrace (2) Two-hour limit, from 7:00 a.m. to 7:00 p.m., east side.	
Washburn Avenue	1	prohibited	north			entire length	school days; 8:00 a.m. to 4:00 p.m.	Washburn Avenue (1) Prohibited, school days, 8:00 a.m. to 4:00 p.m., north side, entire length.	
Washburn Avenue	2	prohibited	south		along curve west of Pine Street		all days	Washburn Avenue (2) Prohibited, all days, south side, along curve west of Pine Street.	
Washington Park	1	prohibited					all days	Washington Park (1) Prohibited, all days: a) south side, from Walnut Street to a point 227 feet east of Walnut Street. b) north side, from Walnut Street to Park Place. c) south drive, north side, from Park Place to Harvard Street. d) north drive, south side, from Park Place to Harvard Street.	has lettered sub-clauses
Washington Park	2	one-hour limit	south	a point 227 feet east of Walnut Street	Park Place			Washington Park (2) One-hour limit, south side, from a point 227 feet east of Walnut Street to Park Place.	
Washington Park	3	three-hour limit					8:00 a.m. to 4:00 p.m.	Washington Park (3) Three-hour limit, 8:00 a.m. to 4:00 p.m. a) south drive, south side, from Park Place to Harvard Street. b) north drive, north side, from Park Place to Harvard Street.	has lettered sub-clauses
Washington Street east of St. James Street	1	prohibited					any time	Washington Street east of St. James Street (1) Prohibited, any time, any side, except for the following:	general prohibition with exceptions in subsequent clauses
Washington Street east of St. James Street	2	two-hour limit	north	a point 95 feet west of the Boston City Line	Elmhurst Road		8:00 a.m. to 6:00 p.m.	Washington Street east of St. James Street (2) Two-hour limit, 8:00 a.m. to 6:00 p.m., except by Newton Corner permit, from a point 95 feet west of the Boston City Line to Elmhurst Road, north side.	Newton Corner permit exception
Washington Street east of St. James Street	3	two-hour limit	north	a point 100 feet west of Elmhurst Road	Grasmere Street		8:00 a.m. to 6:00 p.m.	Washington Street east of St. James Street (3) Two-hour limit, 8:00 a.m. to 6:00 p.m., except by Newton Corner permit, from a point 100 feet west of Elmhurst Road to Grasmere Street, north side.	Newton Corner permit exception
Washington Street east of St. James Street	4	two-hour limit	north	a point 20 feet east of Waverley Avenue	Hunnewell Circle		8:00 a.m. to 6:00 p.m.	Washington Street east of St. James Street (4) Two-hour limit, 8:00 a.m. to 6:00 p.m., except by Newton Corner permit, from a point 20 feet east of Waverley Avenue to Hunnewell Circle, north side.	Newton Corner permit exception
Washington Street east of St. James Street	5	no restriction	south	St. James Circle	Hibbard Road			Washington Street east of St. James Street (5) No restriction, St. James Circle to Hibbard Road, south side.	
Washington Street east of St. James Street	6	two-hour limit	south	a point 100 feet east of Waverley Avenue	Grasmere Street		8:00 a.m. to 6:00 p.m.	Washington Street east of St. James Street (6) Two-hour limit, 8:00 a.m. to 6:00 p.m., except by Newton Corner permit, from a point 100 feet east of Waverley Avenue to Grasmere Street, south side.	Newton Corner permit exception
Washington Street between St. James Street and Church Street (both sides of the Massachusetts Turnpike)	1	prohibited					any time	Washington Street between St. James Street and Church Street (both sides of the Massachusetts Turnpike) (1) Prohibited, any time, any side, except for the following:	general prohibition with exceptions in subsequent clauses
Washington Street between St. James Street and Church Street (both sides of the Massachusetts Turnpike)	2	parking meter zone	south	a point 110 feet east of Church Street	(300 feet easterly)		8:00 a.m. to 6:00 p.m.	Washington Street between St. James Street and Church Street (both sides of the Massachusetts Turnpike) (2) Parking meter zone, no time limit, 8:00 a.m. to 6:00 p.m., from a point 110' east of Church Street, 300' easterly, south side.	no time limit
